backbone,config,budget,rep,method,C,auroc_light,sens_light,spec_light,auroc_mid,sens_mid,spec_mid,auroc_dark,sens_dark,spec_dark,gap_auroc
resnet50_frozen,std_tunedC,25,2,src_cond_dark,0.1,0.59609375,0.1,1.0,0.6378109452736318,0.03333333333333333,1.0,0.7203947368421052,0.10526315789473684,1.0,-0.12430098684210522
resnet50_frozen,std_tunedC,25,2,src_cond_shuf,0.1,0.53984375,0.05,1.0,0.6303482587064676,0.03333333333333333,1.0,0.8133223684210527,0.05263157894736842,1.0,-0.2734786184210527
resnet50_frozen,std_tunedC,25,3,simple,0.01,0.5078125,0.0,1.0,0.5348258706467661,0.06666666666666667,0.9850746268656716,0.5411184210526316,0.10526315789473684,0.921875,-0.03330592105263164
resnet50_frozen,std_tunedC,25,3,fair,0.01,0.54375,0.05,1.0,0.5796019900497513,0.1,0.9850746268656716,0.5879934210526316,0.10526315789473684,0.84375,-0.04424342105263168
resnet50_frozen,std_tunedC,25,3,smote,0.01,0.5054687500000001,0.0,1.0,0.43731343283582086,0.03333333333333333,0.9850746268656716,0.5896381578947368,0.10526315789473684,0.953125,-0.0841694078947367
resnet50_frozen,std_tunedC,25,3,smote_shuf,0.01,0.5078125,0.0,1.0,0.5348258706467661,0.06666666666666667,0.9850746268656716,0.5411184210526316,0.10526315789473684,0.921875,-0.03330592105263164
resnet50_frozen,std_tunedC,25,3,smote_light,0.01,0.47890625,0.0,1.0,0.4517412935323383,0.03333333333333333,1.0,0.5476973684210527,0.05263157894736842,0.9375,-0.06879111842105268
resnet50_frozen,std_tunedC,25,3,smote_allmal,10.0,0.49531250000000004,0.0,1.0,0.4,0.0,0.9850746268656716,0.5518092105263157,0.0,0.96875,-0.05649671052631566
resnet50_frozen,std_tunedC,25,3,src_demo,0.1,0.421875,0.0,1.0,0.5676616915422885,0.0,1.0,0.6414473684210527,0.05263157894736842,0.984375,-0.21957236842105265
resnet50_frozen,std_tunedC,25,3,src_cond,0.1,0.43984375000000003,0.0,1.0,0.5318407960199005,0.0,1.0,0.6735197368421052,0.0,1.0,-0.23367598684210517
resnet50_frozen,std_tunedC,25,3,src_cond_dark,0.1,0.42109375,0.0,1.0,0.5477611940298508,0.0,1.0,0.6570723684210525,0.05263157894736842,0.984375,-0.23597861842105256
resnet50_frozen,std_tunedC,25,3,src_cond_shuf,0.1,0.42734375,0.0,1.0,0.5646766169154229,0.0,1.0,0.6661184210526315,0.0,1.0,-0.2387746710526315
resnet50_frozen,std_tunedC,25,4,simple,0.01,0.6718749999999999,0.15,0.984375,0.5776119402985075,0.1,0.9552238805970149,0.5439967105263157,0.15789473684210525,0.84375,0.12787828947368418
resnet50_frozen,std_tunedC,25,4,fair,0.01,0.65,0.15,0.984375,0.5766169154228855,0.1,0.9552238805970149,0.5550986842105262,0.15789473684210525,0.828125,0.0949013157894738
resnet50_frozen,std_tunedC,25,4,smote,0.01,0.53359375,0.1,1.0,0.5527363184079603,0.1,0.9552238805970149,0.4527138157894737,0.10526315789473684,0.875,0.0808799342105263
resnet50_frozen,std_tunedC,25,4,smote_shuf,0.1,0.54453125,0.1,1.0,0.5567164179104478,0.1,0.9552238805970149,0.43133223684210525,0.15789473684210525,0.859375,0.11319901315789477
resnet50_frozen,std_tunedC,25,4,smote_light,0.1,0.55078125,0.1,1.0,0.5497512437810944,0.06666666666666667,0.9552238805970149,0.42886513157894735,0.15789473684210525,0.875,0.12191611842105265
resnet50_frozen,std_tunedC,25,4,smote_allmal,10.0,0.503125,0.05,1.0,0.4965174129353233,0.03333333333333333,0.9701492537313433,0.3824013157894737,0.10526315789473684,0.90625,0.12072368421052637
resnet50_frozen,std_tunedC,25,4,src_demo,0.1,0.5609375,0.0,1.0,0.7114427860696518,0.03333333333333333,1.0,0.5016447368421053,0.05263157894736842,1.0,0.05929276315789467
resnet50_frozen,std_tunedC,25,4,src_cond,0.1,0.671875,0.05,0.984375,0.7482587064676618,0.03333333333333333,1.0,0.606907894736842,0.0,1.0,0.06496710526315796
resnet50_frozen,std_tunedC,25,4,src_cond_dark,0.1,0.55625,0.0,1.0,0.7164179104477613,0.03333333333333333,1.0,0.5115131578947368,0.05263157894736842,1.0,0.044736842105263186
resnet50_frozen,std_tunedC,25,4,src_cond_shuf,0.1,0.6609375,0.05,1.0,0.7358208955223879,0.03333333333333333,1.0,0.5419407894736842,0.0,1.0,0.11899671052631577
resnet50_frozen,std_tunedC,25,5,simple,0.01,0.67890625,0.05,0.921875,0.6567164179104478,0.2,0.9402985074626866,0.4987664473684211,0.05263157894736842,0.90625,0.18013980263157897
resnet50_frozen,std_tunedC,25,5,fair,0.01,0.69609375,0.1,0.90625,0.6885572139303483,0.2,0.9253731343283582,0.5152138157894737,0.05263157894736842,0.890625,0.18087993421052628
resnet50_frozen,std_tunedC,25,5,smote,0.01,0.64375,0.0,0.96875,0.6487562189054725,0.1,0.9552238805970149,0.5045230263157895,0.05263157894736842,0.9375,0.13922697368421055
resnet50_frozen,std_tunedC,25,5,smote_shuf,0.1,0.6375,0.0,0.96875,0.640049751243781,0.1,0.9552238805970149,0.48560855263157887,0.05263157894736842,0.953125,0.15189144736842108
resnet50_frozen,std_tunedC,25,5,smote_light,0.1,0.634375,0.0,0.953125,0.6360696517412935,0.13333333333333333,0.9701492537313433,0.501233552631579,0.05263157894736842,0.953125,0.13314144736842104
resnet50_frozen,std_tunedC,25,5,smote_allmal,0.1,0.60859375,0.0,1.0,0.6298507462686567,0.06666666666666667,0.9701492537313433,0.4888980263157895,0.05263157894736842,0.984375,0.11969572368421055
resnet50_frozen,std_tunedC,25,5,src_demo,0.1,0.6296875,0.1,1.0,0.6447761194029851,0.0,1.0,0.6858552631578947,0.0,0.96875,-0.056167763157894735
resnet50_frozen,std_tunedC,25,5,src_cond,0.1,0.6484375,0.0,1.0,0.6965174129353234,0.0,1.0,0.7549342105263157,0.05263157894736842,0.984375,-0.10649671052631571
resnet50_frozen,std_tunedC,25,5,src_cond_dark,0.1,0.63203125,0.1,1.0,0.6333333333333333,0.0,1.0,0.7023026315789473,0.0,0.96875,-0.0702713815789473
resnet50_frozen,std_tunedC,25,5,src_cond_shuf,0.1,0.640625,0.0,1.0,0.6800995024875622,0.0,1.0,0.7171052631578947,0.0,1.0,-0.07648026315789469
resnet50_frozen,std_tunedC,25,6,simple,0.01,0.44921875,0.0,0.96875,0.53681592039801,0.0,1.0,0.49013157894736836,0.0,1.0,-0.04091282894736836
resnet50_frozen,std_tunedC,25,6,fair,0.01,0.44765625,0.0,0.953125,0.5373134328358209,0.0,1.0,0.5172697368421052,0.0,0.984375,-0.06961348684210522
resnet50_frozen,std_tunedC,25,6,smote,0.01,0.40546875000000004,0.0,0.96875,0.5228855721393035,0.0,1.0,0.48684210526315785,0.0,1.0,-0.08137335526315781
resnet50_frozen,std_tunedC,25,6,smote_shuf,1.0,0.4296875,0.0,0.984375,0.5388059701492537,0.0,1.0,0.48684210526315785,0.0,1.0,-0.057154605263157854
resnet50_frozen,std_tunedC,25,6,smote_light,0.1,0.40234374999999994,0.0,0.96875,0.5303482587064676,0.0,1.0,0.43421052631578955,0.0,1.0,-0.0318667763157896
resnet50_frozen,std_tunedC,25,6,smote_allmal,1.0,0.38671874999999994,0.0,0.984375,0.5104477611940299,0.0,1.0,0.453125,0.0,1.0,-0.06640625000000006
resnet50_frozen,std_tunedC,25,6,src_demo,0.1,0.4625,0.0,1.0,0.7044776119402985,0.03333333333333333,1.0,0.6011513157894737,0.05263157894736842,0.984375,-0.13865131578947365
resnet50_frozen,std_tunedC,25,6,src_cond,0.1,0.53125,0.0,1.0,0.7243781094527363,0.03333333333333333,1.0,0.7146381578947368,0.0,0.96875,-0.18338815789473684
resnet50_frozen,std_tunedC,25,6,src_cond_dark,0.1,0.46796875,0.0,1.0,0.7044776119402986,0.0,1.0,0.615953947368421,0.10526315789473684,0.984375,-0.14798519736842103
