backbone,config,budget,rep,method,C,n_adapt,n_train,auroc_light,sens_light,auroc_mid,sens_mid,auroc_dark,sens_dark,gap_auroc,gap_sens,cert_lb_dark,cert_true_dark,cert_cov_dark,cert_n_dark,cert_lb_light,cert_true_light,cert_cov_light,cert_n_light,cert_lb_mid,cert_true_mid,cert_cov_mid,cert_n_mid
resnet50_frozen,std_tunedC,25,2,fair_shuffled,0.01,25,17,0.5234375,0.05,0.5567164179104478,0.0,0.3618421052631579,0.0,0.1615953947368421,0.05,0.3425916819988613,0.7710843373493976,1.0,5.0,,,,,,,,
resnet50_frozen,std_tunedC,25,2,groupdro,0.01,25,17,0.52734375,0.05,0.5835820895522388,0.0,0.3675986842105263,0.0,0.15974506578947367,0.05,0.3425916819988613,0.7590361445783133,1.0,5.0,,,,,,,,
resnet50_frozen,std_tunedC,25,2,smote,0.01,25,17,0.52734375,0.05,0.5786069651741294,0.0,0.37171052631578944,0.0,0.15563322368421056,0.05,0.3425916819988613,0.7590361445783133,1.0,5.0,,,,,,,,
resnet50_frozen,std_tunedC,25,2,src_aug,0.01,25,17,0.66796875,0.2,0.6706467661691543,0.2,0.6241776315789473,0.47368421052631576,0.043791118421052655,-0.27368421052631575,0.5492802716530588,0.7469879518072289,1.0,5.0,,,,,,,,
resnet50_frozen,std_tunedC,25,2,src_aug_matched,0.01,25,17,0.59375,0.15,0.6373134328358209,0.1,0.6636513157894737,0.15789473684210525,-0.06990131578947367,-0.00789473684210526,0.3425916819988613,0.7108433734939759,1.0,5.0,,,,,,,,
resnet50_frozen,std_tunedC,25,2,src_aug_down,0.1,25,17,0.57265625,0.1,0.6741293532338308,0.03333333333333333,0.7023026315789473,0.05263157894736842,-0.12964638157894737,0.04736842105263159,0.3425916819988613,0.7831325301204819,1.0,5.0,,,,,,,,
resnet50_frozen,std_tunedC,25,3,source,0.01,25,17,0.5828125,0.95,0.6393034825870647,0.9,0.5657894736842104,0.7894736842105263,0.017023026315789558,0.16052631578947363,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,3,simple,0.01,25,17,0.51640625,0.0,0.527860696517413,0.03333333333333333,0.5296052631578947,0.05263157894736842,-0.013199013157894735,-0.05263157894736842,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,3,fair,0.01,25,17,0.54375,0.05,0.573134328358209,0.13333333333333333,0.5501644736842105,0.05263157894736842,-0.006414473684210553,-0.0026315789473684154,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,3,fair_legacy,0.01,25,17,0.54375,0.05,0.573134328358209,0.13333333333333333,0.5501644736842105,0.05263157894736842,-0.006414473684210553,-0.0026315789473684154,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,3,fair_shuffled,0.01,25,17,0.59296875,0.05,0.6059701492537314,0.13333333333333333,0.5485197368421053,0.05263157894736842,0.044449013157894735,-0.0026315789473684154,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,3,groupdro,0.01,25,17,0.51796875,0.0,0.5298507462686567,0.03333333333333333,0.5296052631578947,0.05263157894736842,-0.011636513157894712,-0.05263157894736842,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,3,smote,0.01,25,17,0.51640625,0.0,0.527860696517413,0.03333333333333333,0.5296052631578947,0.05263157894736842,-0.013199013157894735,-0.05263157894736842,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,3,src_aug,0.01,25,17,0.43671875,0.1,0.6298507462686568,0.2,0.6192434210526315,0.3684210526315789,-0.18252467105263154,-0.2684210526315789,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,3,src_aug_matched,0.01,25,17,0.4640625,0.05,0.6268656716417911,0.1,0.6208881578947367,0.21052631578947367,-0.15682565789473674,-0.16052631578947368,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,3,src_aug_down,0.1,25,17,0.43046874999999996,0.0,0.5711442786069652,0.0,0.6233552631578947,0.05263157894736842,-0.19288651315789473,-0.05263157894736842,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,4,source,0.01,25,17,0.5437500000000002,0.85,0.609452736318408,0.8333333333333334,0.6578947368421053,0.8947368421052632,-0.11414473684210513,-0.044736842105263186,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,4,simple,0.01,25,17,0.69296875,0.25,0.555223880597015,0.1,0.5164473684210527,0.15789473684210525,0.17652138157894737,0.09210526315789475,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,4,fair,0.01,25,17,0.6789062499999999,0.25,0.5492537313432837,0.16666666666666666,0.5583881578947368,0.15789473684210525,0.1205180921052631,0.09210526315789475,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,4,fair_legacy,0.01,25,17,0.6789062499999999,0.25,0.5492537313432837,0.16666666666666666,0.5583881578947368,0.15789473684210525,0.1205180921052631,0.09210526315789475,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,4,fair_shuffled,0.01,25,17,0.6609374999999998,0.25,0.564179104477612,0.1,0.5197368421052632,0.15789473684210525,0.14120065789473668,0.09210526315789475,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,4,groupdro,0.01,25,17,0.6937500000000001,0.25,0.5537313432835821,0.16666666666666666,0.5304276315789473,0.15789473684210525,0.16332236842105274,0.09210526315789475,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,4,smote,0.01,25,17,0.69296875,0.25,0.555223880597015,0.1,0.5164473684210527,0.15789473684210525,0.17652138157894737,0.09210526315789475,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,4,src_aug,0.01,25,17,0.59765625,0.15,0.7223880597014926,0.2,0.602796052631579,0.3684210526315789,-0.005139802631578982,-0.21842105263157893,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,4,src_aug_matched,0.01,25,17,0.515625,0.05,0.6890547263681591,0.16666666666666666,0.5419407894736842,0.2631578947368421,-0.02631578947368418,-0.2131578947368421,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,4,src_aug_down,0.1,25,17,0.57890625,0.0,0.7442786069651741,0.03333333333333333,0.5279605263157894,0.05263157894736842,0.050945723684210575,-0.05263157894736842,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,5,source,0.01,25,17,0.5328125,0.5,0.6621890547263681,0.7,0.6792763157894738,0.631578947368421,-0.14646381578947376,-0.13157894736842102,0.1892553774377708,0.5903614457831325,1.0,5.0,,,,,,,,
resnet50_frozen,std_tunedC,25,5,simple,0.01,25,17,0.59609375,0.05,0.5537313432835821,0.13333333333333333,0.5460526315789473,0.0,0.05004111842105263,0.05,0.1892553774377708,0.7108433734939759,1.0,5.0,,,,,,,,
resnet50_frozen,std_tunedC,25,5,fair,0.01,25,17,0.60625,0.05,0.573134328358209,0.2,0.5501644736842104,0.0,0.05608552631578956,0.05,0.1892553774377708,0.7108433734939759,1.0,5.0,,,,,,,,
