backbone,rep,method,kind,skin,dgroup,n_pos,sens,auroc_vs_benign,subset,n,auroc
resnet50_frozen,1,source,overall,dark,,6,0.8333333333333334,,noLYM,70.0,0.65234375
resnet50_frozen,1,simple,stratum,light,KC,15,0.2,0.8135416666666667,,,
resnet50_frozen,1,simple,stratum,light,MEL,3,0.3333333333333333,0.546875,,,
resnet50_frozen,1,simple,stratum,light,OTH,2,0.0,0.359375,,,
resnet50_frozen,1,simple,stratum,mid,KC,17,0.0,0.7708516242317822,,,
resnet50_frozen,1,simple,stratum,mid,MEL,6,0.16666666666666666,0.5870646766169154,,,
resnet50_frozen,1,simple,stratum,mid,LYM,4,0.0,0.75,,,
resnet50_frozen,1,simple,stratum,mid,OTH,3,0.0,0.4825870646766169,,,
resnet50_frozen,1,simple,stratum,dark,KC,2,0.0,0.53125,,,
resnet50_frozen,1,simple,stratum,dark,MEL,3,0.0,0.6927083333333333,,,
resnet50_frozen,1,simple,stratum,dark,LYM,13,0.23076923076923078,0.7512019230769231,,,
resnet50_frozen,1,simple,stratum,dark,OTH,1,0.0,0.90625,,,
resnet50_frozen,1,simple,overall,light,,20,0.2,,all,84.0,0.7281249999999999
resnet50_frozen,1,simple,overall,mid,,30,0.03333333333333333,,all,97.0,0.7024875621890547
resnet50_frozen,1,simple,overall,dark,,19,0.15789473684210525,,all,83.0,0.7269736842105264
resnet50_frozen,1,simple,overall,light,,20,0.2,,noLYM,84.0,0.7281249999999999
resnet50_frozen,1,simple,overall,mid,,26,0.038461538461538464,,noLYM,93.0,0.6951779563719862
resnet50_frozen,1,simple,overall,dark,,6,0.0,,noLYM,70.0,0.6744791666666666
resnet50_frozen,1,fair,stratum,light,KC,15,0.2,0.8447916666666667,,,
resnet50_frozen,1,fair,stratum,light,MEL,3,0.3333333333333333,0.578125,,,
resnet50_frozen,1,fair,stratum,light,OTH,2,0.0,0.4453125,,,
resnet50_frozen,1,fair,stratum,mid,KC,17,0.058823529411764705,0.7647058823529412,,,
resnet50_frozen,1,fair,stratum,mid,MEL,6,0.16666666666666666,0.5820895522388059,,,
resnet50_frozen,1,fair,stratum,mid,LYM,4,0.0,0.8022388059701493,,,
resnet50_frozen,1,fair,stratum,mid,OTH,3,0.3333333333333333,0.5124378109452736,,,
resnet50_frozen,1,fair,stratum,dark,KC,2,0.0,0.578125,,,
resnet50_frozen,1,fair,stratum,dark,MEL,3,0.0,0.625,,,
resnet50_frozen,1,fair,stratum,dark,LYM,13,0.3076923076923077,0.7896634615384615,,,
resnet50_frozen,1,fair,stratum,dark,OTH,1,0.0,0.953125,,,
resnet50_frozen,1,fair,overall,light,,20,0.2,,all,84.0,0.76484375
resnet50_frozen,1,fair,overall,mid,,30,0.1,,all,97.0,0.7079601990049751
resnet50_frozen,1,fair,overall,dark,,19,0.21052631578947367,,all,83.0,0.7500000000000001
resnet50_frozen,1,fair,overall,light,,20,0.2,,noLYM,84.0,0.76484375
resnet50_frozen,1,fair,overall,mid,,26,0.11538461538461539,,noLYM,93.0,0.69345579793341
resnet50_frozen,1,fair,overall,dark,,6,0.0,,noLYM,70.0,0.6640625
resnet50_frozen,2,source,stratum,light,KC,12,0.75,0.5169270833333334,,,
resnet50_frozen,2,source,stratum,light,MEL,4,0.75,0.33984375,,,
resnet50_frozen,2,source,stratum,light,LYM,2,1.0,0.5234375,,,
resnet50_frozen,2,source,stratum,light,OTH,2,1.0,0.75,,,
resnet50_frozen,2,source,stratum,mid,KC,25,0.8,0.5585074626865671,,,
resnet50_frozen,2,source,stratum,mid,MEL,3,1.0,0.6840796019900497,,,
resnet50_frozen,2,source,stratum,mid,LYM,1,1.0,0.34328358208955223,,,
resnet50_frozen,2,source,stratum,mid,OTH,1,1.0,0.5074626865671642,,,
resnet50_frozen,2,source,stratum,dark,KC,4,1.0,0.69921875,,,
resnet50_frozen,2,source,stratum,dark,MEL,4,0.5,0.46875,,,
resnet50_frozen,2,source,stratum,dark,LYM,9,0.7777777777777778,0.71875,,,
resnet50_frozen,2,source,stratum,dark,OTH,2,1.0,0.8203125,,,
resnet50_frozen,2,source,overall,light,,20,0.8,,all,84.0,0.50546875
resnet50_frozen,2,source,overall,mid,,30,0.8333333333333334,,all,97.0,0.5621890547263682
resnet50_frozen,2,source,overall,dark,,19,0.7894736842105263,,all,83.0,0.6726973684210527
resnet50_frozen,2,source,overall,light,,18,0.7777777777777778,,noLYM,82.0,0.5034722222222222
resnet50_frozen,2,source,overall,mid,,29,0.8275862068965517,,noLYM,96.0,0.5697375193000515
resnet50_frozen,2,source,overall,dark,,10,0.8,,noLYM,74.0,0.63125
resnet50_frozen,2,simple,stratum,light,KC,12,0.0,0.7434895833333334,,,
resnet50_frozen,2,simple,stratum,light,MEL,4,0.25,0.59765625,,,
resnet50_frozen,2,simple,stratum,light,LYM,2,0.0,0.5859375,,,
resnet50_frozen,2,simple,stratum,light,OTH,2,0.0,0.46875,,,
resnet50_frozen,2,simple,stratum,mid,KC,25,0.04,0.7104477611940299,,,
resnet50_frozen,2,simple,stratum,mid,MEL,3,0.0,0.2736318407960199,,,
resnet50_frozen,2,simple,stratum,mid,LYM,1,0.0,0.791044776119403,,,
resnet50_frozen,2,simple,stratum,mid,OTH,1,0.0,0.11940298507462688,,,
resnet50_frozen,2,simple,stratum,dark,KC,4,0.0,0.67578125,,,
resnet50_frozen,2,simple,stratum,dark,MEL,4,0.0,0.5,,,
resnet50_frozen,2,simple,stratum,dark,LYM,9,0.3333333333333333,0.8333333333333333,,,
resnet50_frozen,2,simple,stratum,dark,OTH,2,0.0,0.3984375,,,
resnet50_frozen,2,simple,overall,light,,20,0.05,,all,84.0,0.6710937499999999
resnet50_frozen,2,simple,overall,mid,,30,0.03333333333333333,,all,97.0,0.6497512437810946
resnet50_frozen,2,simple,overall,dark,,19,0.15789473684210525,,all,83.0,0.6842105263157895
resnet50_frozen,2,simple,overall,light,,18,0.05555555555555555,,noLYM,82.0,0.6805555555555555
resnet50_frozen,2,simple,overall,mid,,29,0.034482758620689655,,noLYM,96.0,0.6448790530108081
resnet50_frozen,2,simple,overall,dark,,10,0.0,,noLYM,74.0,0.55
resnet50_frozen,2,fair,stratum,light,KC,12,0.08333333333333333,0.7786458333333333,,,
resnet50_frozen,2,fair,stratum,light,MEL,4,0.0,0.57421875,,,
resnet50_frozen,2,fair,stratum,light,LYM,2,0.0,0.7578125,,,
resnet50_frozen,2,fair,stratum,light,OTH,2,0.0,0.421875,,,
resnet50_frozen,2,fair,stratum,mid,KC,25,0.08,0.7289552238805971,,,
resnet50_frozen,2,fair,stratum,mid,MEL,3,0.0,0.2835820895522388,,,
resnet50_frozen,2,fair,stratum,mid,LYM,1,0.0,0.791044776119403,,,
resnet50_frozen,2,fair,stratum,mid,OTH,1,0.0,0.13432835820895528,,,
resnet50_frozen,2,fair,stratum,dark,KC,4,0.25,0.69921875,,,
resnet50_frozen,2,fair,stratum,dark,MEL,4,0.0,0.4609375,,,
resnet50_frozen,2,fair,stratum,dark,LYM,9,0.4444444444444444,0.8645833333333333,,,
resnet50_frozen,2,fair,stratum,dark,OTH,2,0.0,0.5,,,
resnet50_frozen,2,fair,overall,light,,20,0.05,,all,84.0,0.7
resnet50_frozen,2,fair,overall,mid,,30,0.06666666666666667,,all,97.0,0.6666666666666667
resnet50_frozen,2,fair,overall,dark,,19,0.2631578947368421,,all,83.0,0.7064144736842105
resnet50_frozen,2,fair,overall,light,,18,0.05555555555555555,,noLYM,82.0,0.693576388888889
resnet50_frozen,2,fair,overall,mid,,29,0.06896551724137931,,noLYM,96.0,0.6623777663407103
resnet50_frozen,2,fair,overall,dark,,10,0.1,,noLYM,74.0,0.5640625
resnet50_frozen,3,source,stratum,light,KC,14,0.5714285714285714,0.4352678571428571,,,
resnet50_frozen,3,source,stratum,light,MEL,3,0.6666666666666666,0.5833333333333333,,,
resnet50_frozen,3,source,stratum,light,LYM,2,1.0,0.7734375,,,
resnet50_frozen,3,source,stratum,light,OTH,1,1.0,0.75,,,
resnet50_frozen,3,source,stratum,mid,KC,28,0.8214285714285714,0.6311300639658849,,,
resnet50_frozen,3,source,stratum,mid,MEL,1,1.0,0.9626865671641791,,,
resnet50_frozen,3,source,stratum,mid,LYM,1,0.0,0.17910447761194026,,,
resnet50_frozen,3,source,stratum,dark,KC,3,1.0,0.671875,,,
resnet50_frozen,3,source,stratum,dark,MEL,3,0.3333333333333333,0.18229166666666666,,,
resnet50_frozen,3,source,stratum,dark,LYM,11,0.8181818181818182,0.5525568181818181,,,
resnet50_frozen,3,source,stratum,dark,OTH,2,1.0,0.671875,,,
resnet50_frozen,3,source,overall,light,,20,0.65,,all,84.0,0.50703125
resnet50_frozen,3,source,overall,mid,,30,0.8,,all,97.0,0.6271144278606966
